"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C9,C11,C12,C13,C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"100n";;;
2;"C2,C4";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"0.1u";;;
3;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
4;"R11,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
5;"R9,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"51k";;;
6;"FW";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"FW";;;
7;"J4";"PinSocket_1x07_P2.54mm_Vertical";1;"Conn_audio";;;
8;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470";;;
9;"SDCard";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_display2";;;
10;"J6";"PinSocket_1x02_P2.54mm_Vertical";1;"Salida_amp";;;
11;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Green";;;
12;"R12,R19,R8,R16,R15,R17,R18,R10,R13,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";10;"5.1k";;;
13;"R1,R2";"R_1218_3246Metric_Pad1.22x4.75mm_HandSolder";2;"1";;;
14;"R3";"R_1218_3246Metric_Pad1.22x4.75mm_HandSolder";1;"1k";;;
15;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Red";;;
16;"BW";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"BW";;;
17;"C8,C5,C6,C7";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";4;"22u";;;
18;"Display";"JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical";1;"Conn_display_2";;;
19;"Keyboard";"JST_EH_B7B-EH-A_1x07_P2.50mm_Vertical";1;"Conn_teclado";;;
20;"Boot";"SW_SPST_EVQQ2";1;"SW_Push";;;
21;"U2";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
22;"L1";"L_6.3x6.3_H3";1;"10u";;;
23;"C14,C1,C_k1";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";3;"10u";;;
24;"Programmer";"PinSocket_1x06_P2.54mm_Vertical";1;"FT232";;;
25;"U1";"TP5410";1;"Tp5400";;;
26;"Buzzer";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Entrada_buzzer";;;
27;"MicroUSB";"USB_Mini-B_AdamTech_MUSB-B5-S-VT-TSMT-1_SMD_Vertical";1;"USB_B_Mini";;;
28;"D3";"SS32";1;"SS32";;;
29;"R4";"R_1218_3246Metric_Pad1.22x4.75mm_HandSolder";1;"1.1k";;;
30;"Battery";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Battery_Cell";;;
31;"L2";"L_6.3x6.3_H3";1;"33u";;;
32;"Enable";"SW_SPST_CK_RS282G05A3";1;"SW_Push";;;
33;"C3";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"47u";;;
